id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,geometry,index_right,official_neighbourhood,dist_loop_center_miles,dist_navy_pier_miles,dist_ohare_airport_miles,dist_fulton_market_miles,dist_museum_campus_miles,dist_mccormick_place_miles,min_dist_rail_miles,avg_dist_top3_rail_miles,is_rail_accessible,dist_to_shoreline_miles,dist_to_nearest_beach_miles
2384,Hyde Park - Walk to University of Chicago,2613,Rebecca,,Hyde Park,41.7879,-87.5878,Private room,119.0,3,257,2025-08-07,1.97,1,348,10,R17000015609,POINT (1187567.662121344 1866182.8570125797),1,Hyde Park,8.427137274172194,8.089899268880519,29.311187790630775,9.978839169071845,6.644650017482204,5.905523302797342,0.07952063023100192,0.3301301266517273,1,0.6689485486038041,0.5270946795130665
7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,,West Town,41.90166,-87.68021,Entire home/apt,89.0,2,595,2025-09-01,3.01,1,302,47,R24000114046,POINT (1162050.7423167827 1907431.624735865),11,West Town,4.21787930307147,4.555117308363146,16.666171213387113,2.6661774081718193,6.00036655976146,6.739493274446321,0.9620188127309306,1.2805077443520037,0,2.8622704643056007,2.9791934682539054
10945,The Biddle House (#1),33004,At Home Inn,,Lincoln Park,41.91196,-87.63981,Entire home/apt,203.0,4,129,2025-09-06,0.93,6,325,24,2209984,POINT (1173018.606115697 1911271.275796209),33,Lincoln Park,2.867839011675581,3.205077016967257,18.016211504783,2.163742513609671,4.650326268365571,5.3894529830504325,1.5089356681921868,1.865164926807055,0,0.6732420020474322,0.8182342357623402
12140,Lincoln Park Guest House,46734,Shar And Robert,,Lincoln Park,41.92357,-87.64947,Private room,339.0,2,19,2025-09-07,0.15,1,156,3,2398451,POINT (1170355.5216742384 1915480.8637520536),33,Lincoln Park,4.1694815111648165,4.506719516456492,16.714569005293765,2.617779616265166,5.951968767854806,6.691095482539668,1.0639582900179478,2.3082717607166514,0,0.9798872759119783,1.4270106557243907
28749,Quirky Bucktown Loft w/ Parking No Parties,27506,Lauri,,Logan Square,41.9202265,-87.67961319999999,Entire home/apt,258.0,2,265,2025-09-01,1.47,1,74,37,R24000113825,POINT (1162161.645553517 1914198.5087362586),10,Logan Square,5.478481720431194,5.815719725722871,15.405568796027387,3.9267798255315443,7.260968977121185,8.000095691806045,0.6232453024916835,1.7758132700963205,0,2.545900013937902,2.8706740262108004
71930,"Rest, Relax and Explore",334241,Michael And Veronica,,West Town,41.89615,-87.67934,Private room,80.0,3,141,2025-09-03,0.81,1,343,18,R23000108832,POINT (1162302.8907170226 1905425.585119114),11,West Town,3.7901921786413753,4.127430183933051,17.093858337817206,2.238490283741725,5.572679435331366,6.311806150016227,0.6712600888607553,1.245565645533592,0,2.9035350528413115,2.977977279162035
94450,Comfy Garden Suite in Andersonville,504470,Mark,,Edgewater,41.9796,-87.66512,Entire home/apt,117.0,3,39,2025-08-11,1.01,1,335,9,R22000082956,POINT (1165937.3423354502 1935864.810323317),37,Edgewater,8.86685384261399,9.204091847905666,12.921883804766482,7.315151947714339,10.64934109930398,11.388467813988841,0.9245246644811581,2.284409196830449,0,0.814626313805344,4.940036116013257
145659,Trendy Roscoe Village 3BR/2BR walk to shops,683529,Joe,,North Center,41.94342,-87.68121,Entire home/apt,185.0,32,77,2024-05-05,0.64,24,365,0,,POINT (1161662.7852433452 1922646.9589395733),60,North Center,7.173048105561192,7.510286110852868,13.71100241089739,5.6213462106615415,8.955535362251183,9.694662076936044,1.7422700737448547,2.111443128766352,0,2.2452319367199074,3.5319218387966456
145690,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,683529,Joe,,Lincoln Park,41.91289,-87.63864,Entire home/apt,270.0,32,87,2024-12-02,0.69,24,331,1,,POINT (1173334.3226733485 1911612.746112183),33,Lincoln Park,2.872716617418469,3.209954622710145,18.01133389904011,2.288209724523591,4.65520387410846,5.39433058879332,1.5541388507918268,1.9141142834612217,0,0.600129725993615,0.7458315521603525
189821,"Best in Chicago, private, amazing garden space",899757,Meighan,,Logan Square,41.92918,-87.70219,Entire home/apt,220.0,3,712,2025-09-02,4.17,1,326,40,R23000108826,POINT (1155993.2682543674 1917415.1473396793),10,Logan Square,7.255946853493735,7.593184858785412,13.628103662964845,5.704244958594085,9.038434110183726,9.777560824868587,1.3589102342976858,1.841627894387615,0,3.539086291207362,4.130647816540656
207218,Historic Pullman Artist Flat - Monthly Rental,1019125,Jb,,Pullman,41.68843,-87.60712,Entire home/apt,125.0,32,321,2025-08-01,1.88,3,283,2,,POINT (1182604.6462740987 1829891.8341870038),61,Pullman,14.360471929159063,14.035823238734597,35.24452244561765,15.912173824058714,12.577984672469073,11.838857957784212,0.2947818007360253,0.48197734004477666,1,4.253987636312867,7.262541450464571
207351,Pullman Art Studio - One Person - Monthly Rental,1019125,Jb,,Pullman,41.68954,-87.60786,Entire home/apt,50.0,32,49,2025-09-01,0.29,3,178,1,,POINT (1182399.1183996205 1830294.6011953217),61,Pullman,14.245264564993153,13.998467342174042,35.129315081451736,15.796966459892802,12.462777308303163,11.723650593618302,0.27404978843764677,0.4345989107768207,1,4.259473034027484,7.195408536667793
220333,Pullman School House Apartment - monthly rental,1019125,Jb,,Pullman,41.68912,-87.60725,Entire home/apt,125.0,32,8,2025-07-31,0.05,3,233,2,,POINT (1182567.0192140844 1830142.9622095586),61,Pullman,14.305783466551281,13.995387450374652,35.18983398300986,15.857485361450932,12.523296209861291,11.78416949517643,0.3144177436115706,0.45891199650237274,1,4.241669242219151,7.21726927182393
225314,Cozy & comfy with AC close to California Blue Line,1173654,Jillian,,Logan Square,41.92589,-87.69737,Private room,87.0,2,32,2025-08-04,0.2,1,46,2,R20000054219,POINT (1157313.7582011572 1916225.9574442387),10,Logan Square,6.78062870155616,7.117866706847836,14.10342181490242,5.22892680665651,8.56311595824615,9.302242672931012,1.5758106058471981,1.9194215553077056,0,3.3505820011437084,3.8383858706733065
