id,price,dist_navy_pier_miles,is_landmark_proximate,transit_north_premium,is_premium_transit_hub,shoreline_gravity,dist_to_nearest_beach_miles,crime_density_total,nb_homicides_half_mile
2384,119.0,7.2169,0,0.045,0.3697,0.5992,0.5271,390.6212,0
7126,89.0,3.9539,0,0.1365,0.0,0.2589,2.9792,314.0505,0
10945,203.0,2.2875,0,0.2141,0.7038,0.5976,0.8182,253.4784,0
12140,339.0,3.1884,0,0.1755,0.735,0.5051,1.427,253.4784,0
28749,258.0,4.3352,0,0.1361,0.726,0.282,2.8707,258.2845,0
71930,80.0,3.8612,0,0.136,0.0,0.2562,2.978,314.0505,1
94450,117.0,6.8191,0,0.1133,0.8859,0.5511,4.94,329.1328,0
145659,185.0,5.3195,0,0.1248,0.7885,0.3081,3.5319,159.7822,0
145690,270.0,2.2806,0,0.2153,0.7063,0.6249,0.7458,253.4784,0
189821,220.0,5.6526,0,0.1128,0.7502,0.2203,4.1306,258.2845,0
207218,125.0,14.0295,0,0.0068,0.1018,0.1903,7.2625,100.1708,0
207351,50.0,13.9533,0,0.007,0.1048,0.1901,7.1954,100.1708,0
220333,125.0,13.982,0,0.0069,0.1036,0.1908,7.2173,100.1708,0
225314,87.0,5.3286,0,0.1171,0.7413,0.2299,3.8384,258.2845,0
233933,58.0,7.7766,0,0.0942,0.8266,0.1891,6.0603,165.1946,0
250354,170.0,2.4118,1,0.1647,0.5618,0.6092,3.0762,276.7138,0
264547,228.0,2.0506,1,0.2061,0.6288,0.4397,1.7254,383.6329,1
345075,116.0,5.8181,0,0.0621,0.4231,0.6656,1.3861,399.8848,0
350347,193.0,4.2793,0,0.1482,0.7822,0.5063,2.4003,365.3628,0
372929,249.0,2.7176,1,0.178,0.6616,0.3596,1.8549,314.0505,0
404792,126.0,3.3365,1,0.1483,0.6432,0.2854,2.6095,314.0505,1
464581,106.0,5.22,0,0.1189,0.7394,0.2344,3.7338,258.2845,0
507517,91.0,7.0447,0,0.1058,0.8514,0.2746,5.1944,160.9753,0
542067,168.0,5.6211,0,0.1142,0.7562,0.228,4.0566,258.2845,0
584590,55.0,6.4897,0,0.1131,0.8474,0.3379,4.6139,160.9753,0
634310,64.0,7.886,0,0.1049,0.9325,0.6742,6.0298,329.1328,0
640841,264.0,4.9248,0,0.1327,0.7862,0.3589,3.101,365.3628,0
651742,69.0,10.4728,0,0.0801,0.0,0.1612,8.6734,22.8329,0
662034,60.0,10.5763,0,0.0799,0.9249,0.1622,8.7697,22.8329,0
681842,53.0,8.1105,0,0.1014,0.0,0.4082,6.223,180.9846,0
697634,109.0,1.7234,1,0.2509,0.6833,0.6789,0.5685,842.8006,0
726376,130.0,4.0751,0,0.153,0.7767,0.5368,2.1942,365.3628,0
729566,79.0,2.1698,1,0.1816,0.5757,0.5766,2.7226,276.7138,0
732569,192.0,3.5221,0,0.1222,0.5528,0.3061,3.6692,188.3615,0
739495,273.0,7.0636,0,0.1088,0.0,0.3729,5.1741,160.9753,0
755701,125.0,6.4612,0,0.1013,0.0,0.1883,4.9728,258.2845,0
863120,73.0,3.576,0,0.1598,0.7313,0.3891,1.9437,253.4784,0
929914,,2.2727,0,0.2154,0.705,0.6157,0.769,253.4784,0
931105,,4.8319,0,0.1084,0.6322,0.1997,4.0961,397.3531,1
960326,262.0,2.6924,1,0.179,0.6608,0.362,1.8379,314.0505,0
966137,120.0,4.1556,0,0.1135,0.0,0.231,3.811,383.6329,3
979841,81.0,8.5392,0,0.1003,0.9567,0.6544,6.6846,402.4574,0
979926,73.0,8.4663,0,0.1007,0.9537,0.6485,6.6107,402.4574,0
979942,73.0,8.3964,0,0.1012,0.9511,0.6486,6.5403,402.4574,0
983640,179.0,8.4968,0,0.1004,0.9532,0.6049,6.6361,402.4574,0
1020810,115.0,1.1058,1,0.3112,0.6553,0.7983,0.7025,842.8006,1
1027463,,5.942,0,0.079,0.5488,0.1653,5.5955,421.1932,0
1083987,120.0,2.8019,1,0.144,0.5475,0.5358,3.4424,276.7138,0
1185749,166.0,4.28,0,0.1121,0.5917,0.2231,3.8656,383.6329,3
1195259,118.0,3.9955,0,0.1394,0.6962,0.2728,2.8208,314.0505,1
1242709,,9.6252,0,0.0935,0.9931,0.5282,7.7625,402.4574,0
1304049,45.0,4.3076,0,0.1111,0.5899,0.222,3.9029,383.6329,3
1321332,627.0,4.2968,0,0.1425,0.0,0.3483,2.5744,253.4784,0
1356190,107.0,4.7897,0,0.1252,0.725,0.2466,3.3799,258.2845,0
1361421,,4.5401,0,0.1435,0.7952,0.5331,2.6517,365.3628,0
1392594,200.0,6.4274,0,0.1155,0.8576,0.4093,4.5377,358.0325,0
1461451,22.0,9.6224,0,0.0928,0.0,0.4315,7.7453,180.9846,0
1502674,209.0,2.2189,0,0.2185,0.7032,0.624,0.7488,253.4784,0
1502700,438.0,2.275,0,0.2148,0.7035,0.6002,0.8113,253.4784,0
1554433,45.0,12.6445,0,0.0128,0.1748,0.1313,7.1181,64.6879,0
1573401,55.0,3.871,0,0.1135,0.5529,0.2686,3.8954,188.3615,0
1584422,480.0,2.404,1,0.2015,0.6859,0.4614,1.2989,842.8006,1
1591370,156.0,9.098,0,0.0963,0.9726,0.5328,7.2316,402.4574,0
1614802,75.0,4.1585,0,0.1482,0.7646,0.4148,2.3446,365.3628,0
1663673,129.0,4.1794,0,0.1261,0.6533,0.2342,3.3406,314.0505,0
1759266,147.0,4.0416,0,0.1513,0.763,0.4353,2.2189,365.3628,0
1769731,322.0,4.6172,0,0.1423,0.7994,0.5475,2.7273,365.3628,0
1772920,565.0,4.6413,0,0.1422,0.802,0.5698,2.7509,365.3628,0
1773021,665.0,4.6339,0,0.142,0.8001,0.5483,2.7439,365.3628,0
1773025,837.0,4.6198,0,0.1423,0.7995,0.5472,2.7299,365.3628,0
