listing_id,price,accommodates,bedrooms,bathrooms,room_type,property_type,review_scores_rating,occupancy_proxy,weekend_occupancy_proxy,summer_occupancy_proxy,winter_occupancy_proxy,total_review_count,recent_review_count,avg_review_length,estimated_annual_revenue,log_revenue,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,beds,minimum_nights,maximum_nights,has_availability,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,room_type_Hotel room,room_type_Private room,room_type_Shared room,property_type_clean_Entire home,property_type_clean_Entire rental unit,property_type_clean_Other,property_type_clean_Private room in home,property_type_clean_Private room in rental unit,Amenity_PCA_1,Amenity_PCA_2,Amenity_PCA_3,Amenity_PCA_4,Amenity_PCA_5,Cluster_ID
2384,119.0,1,1.0,1.0,Private room,Private room in condo,4.99,0.04657534246575343,0.04807692307692308,0.0,0.0,257.0,10.0,378.6420233463035,2023.0,7.6128310304073565,0.0,1.0,1.0,1.0,1.0,Hyde Park,41.7879,-87.5878,1.0,3,90,1.0,13,348,257,10,0,20,4.98,4.99,4.99,4.98,4.95,4.93,f,1,1.97,False,True,False,False,False,True,False,False,1.3292946761429572,-0.5568979682399675,0.1751278019486241,0.020726818537143,-0.5160937661641203,2
7126,89.0,2,1.0,1.0,Entire home/apt,Entire rental unit,4.73,0.1726027397260274,0.18269230769230768,0.08695652173913043,0.07777777777777778,595.0,47.0,267.31596638655463,5607.0,8.631949428714426,1.0,1.0,2.0,1.0,1.0,West Town,41.90166,-87.68021,1.0,2,60,1.0,6,302,595,47,3,52,4.85,4.58,4.91,4.88,4.9,4.77,f,1,3.01,False,False,False,False,True,False,False,False,1.0692039136252984,-0.2942570431245759,-0.189411072285149,0.6833476322030747,-0.7338978970130083,1
10945,203.0,4,2.0,1.0,Entire home/apt,Entire rental unit,4.74,0.1095890410958904,0.11538461538461539,0.0,0.0,129.0,24.0,238.8372093023256,8120.0,9.002208578282412,1.0,9.0,87.0,1.0,1.0,Lincoln Park,41.91196,-87.63981,2.0,4,120,1.0,2,325,129,24,2,36,4.84,4.82,4.84,4.88,4.98,4.73,t,6,0.93,False,False,False,False,True,False,False,False,0.7906683910298735,0.6909232587886716,-0.9341356437708748,0.427567452227882,0.0662868837409343,1
12140,339.0,3,1.0,1.0,Private room,Room in boutique hotel,4.95,0.5726027397260274,0.6057692307692307,1.0,0.0,19.0,3.0,251.6315789473684,70851.0,11.168348473372488,0.0,1.0,1.0,1.0,0.0,Lincoln Park,41.92357,-87.64947,1.0,2,10,1.0,12,156,19,3,1,3,4.68,5.0,5.0,5.0,5.0,4.68,f,1,0.15,False,True,False,False,False,True,False,False,-0.8087339060231034,-1.0632606718596331,-0.3074214428026765,-1.0433699140081882,-2.125492283220364,2
28749,258.0,6,3.0,2.0,Entire home/apt,Entire loft,4.83,0.7972602739726027,0.8076923076923077,1.0,0.7666666666666667,265.0,37.0,308.388679245283,75077.99999999999,11.22629617148548,1.0,1.0,7.0,1.0,1.0,Logan Square,41.9202265,-87.67961319999999,3.0,2,10,1.0,14,74,265,37,2,42,4.87,4.77,4.94,4.88,4.93,4.73,f,1,1.47,False,False,False,False,False,True,False,False,2.228906862140302,0.7352265520137253,1.409986004021988,0.0047885150283122,-0.3126216096646411,1
71930,80.0,2,1.0,1.0,Private room,Private room in rental unit,4.89,0.06027397260273973,0.057692307692307696,0.0,0.0,141.0,18.0,330.8156028368794,1760.0,7.473637108496206,1.0,1.0,3.0,1.0,0.0,West Town,41.89615,-87.67934,1.0,3,60,1.0,13,343,141,18,2,20,4.94,4.76,4.96,4.95,4.84,4.83,f,1,0.81,False,True,False,False,False,False,False,True,0.370721506415113,0.3234054626123481,0.4302122389081555,0.1735308459834332,-0.9213606895200476,2
94450,117.0,1,1.0,1.0,Entire home/apt,Entire rental unit,4.95,0.0821917808219178,0.09615384615384616,0.0,0.0,39.0,9.0,329.3333333333333,3510.0,8.163656176168432,1.0,1.0,3.0,1.0,1.0,Edgewater,41.9796,-87.66512,1.0,3,90,1.0,9,335,39,9,0,11,5.0,4.9,5.0,5.0,5.0,4.9,f,1,1.01,False,False,False,False,True,False,False,False,0.292331025284803,-0.0960195837221795,-0.1873552072468115,1.0665925002976446,-0.3285414420456931,1
145690,270.0,10,4.0,2.0,Entire home/apt,Entire rental unit,4.78,0.09315068493150686,0.09615384615384616,0.0,0.0,86.0,1.0,217.2325581395349,9180.000000000002,9.1248914101437,1.0,25.0,38.0,1.0,1.0,Lincoln Park,41.91289,-87.63864,4.0,32,1125,1.0,0,331,87,1,0,1,4.78,4.9,4.79,4.63,4.95,4.65,f,24,0.69,False,False,False,False,True,False,False,False,-1.3857984827267251,1.2539098259030117,0.54808540290188,0.9892276389393084,-0.8107558501005713,1
189821,220.0,5,2.0,1.0,Entire home/apt,Entire rental unit,4.95,0.10684931506849316,0.11538461538461539,0.0,0.06666666666666667,712.0,40.0,352.4620786516854,8580.0,9.057305735807121,1.0,1.0,2.0,1.0,0.0,Logan Square,41.92918,-87.70219,3.0,3,28,1.0,9,326,712,40,2,44,4.97,4.93,4.97,4.95,4.92,4.89,f,1,4.17,False,False,False,False,True,False,False,False,2.763464098246437,-0.0377042525945392,-0.509988160328738,-0.5145875271901738,-0.3463718865466644,1
207218,125.0,2,1.0,1.0,Entire home/apt,Entire rental unit,4.9,0.22465753424657534,0.21153846153846154,0.0,0.13333333333333333,321.0,2.0,371.7507788161994,10250.0,9.235130540783402,1.0,3.0,3.0,1.0,1.0,Pullman,41.68843,-87.60712,1.0,32,333,1.0,0,283,321,2,0,2,4.93,4.84,4.97,4.97,4.71,4.86,f,3,1.88,False,False,False,False,True,False,False,False,0.0953805816578774,0.3866562201939358,-0.1763054594729972,1.2088524403420808,-0.7131028964444445,1
207351,50.0,1,1.0,1.0,Entire home/apt,Entire place,4.92,0.5123287671232877,0.5192307692307693,1.0,0.0,49.0,1.0,327.51020408163265,9350.0,9.143238568435446,1.0,3.0,3.0,1.0,1.0,Pullman,41.68954,-87.60786,1.0,32,120,1.0,28,178,49,1,1,2,4.98,4.73,4.98,5.0,4.77,4.85,f,3,0.29,False,False,False,False,False,True,False,False,-0.2419081733811445,-0.2226707560037919,-0.5297271583129937,1.0481207175477043,-0.8545217319612893,2
220333,125.0,2,2.0,1.0,Entire home/apt,Entire rental unit,4.88,0.36164383561643837,0.3557692307692308,0.0,0.6888888888888889,8.0,2.0,182.75,16500.0,9.711176264112805,1.0,3.0,3.0,1.0,1.0,Pullman,41.68912,-87.60725,1.0,32,365,1.0,0,233,8,2,0,2,4.88,5.0,5.0,5.0,4.63,4.88,f,3,0.05,False,False,False,False,True,False,False,False,-0.1622988223981178,-1.1598463285494842,-0.8763614633666255,0.7603252559300924,0.0696456494454751,0
225314,87.0,1,1.0,1.0,Private room,Private room in home,4.94,0.873972602739726,0.875,1.0,0.7222222222222222,32.0,2.0,432.40625,27752.999999999996,10.231135252930956,0.0,1.0,2.0,1.0,1.0,Logan Square,41.92589,-87.69737,1.0,2,10,1.0,0,46,32,2,0,4,4.97,4.97,5.0,4.97,5.0,4.9,f,1,0.2,False,True,False,False,False,False,True,False,0.0344784324322375,-0.5567727043039556,0.6888913253968798,0.6613811325413526,-0.0433219374450145,2
233933,58.0,2,1.0,1.0,Private room,Private room in home,4.83,0.8383561643835616,0.8653846153846154,1.0,0.7777777777777778,220.0,31.0,383.32272727272726,17748.0,9.784084455288346,1.0,2.0,2.0,1.0,1.0,Irving Park,41.95758,-87.7271,1.0,2,14,1.0,8,59,220,31,3,34,4.89,4.86,4.94,4.89,4.8,4.78,f,2,1.3,False,True,False,False,False,False,True,False,-0.0633584304472636,0.8549979338534008,0.8662175313739611,0.100815035144919,-0.5321073093156129,2
250354,170.0,2,2.0,1.0,Entire home/apt,Entire condo,4.84,0.01643835616438356,0.019230769230769232,0.0,0.0,35.0,0.0,390.48571428571427,1019.9999999999999,6.928537818164665,0.0,1.0,2.0,1.0,1.0,Near South Side,41.85923,-87.62198,1.0,180,365,1.0,24,359,35,0,0,0,4.94,4.53,4.94,4.97,4.82,4.47,f,1,0.21,False,False,False,False,False,False,False,False,-2.232027835479633,-0.2145366564865694,0.0661117637805182,-0.3973060394266935,-0.3838192162622852,0
264547,228.0,3,2.0,1.5,Entire home/apt,Entire condo,4.84,0.5178082191780822,0.5192307692307693,0.0,1.0,63.0,0.0,398.6190476190476,43091.99999999999,10.67111584990838,0.0,1.0,2.0,1.0,1.0,Near West Side,41.88413,-87.64315,2.0,32,1125,1.0,0,176,63,0,0,0,4.79,4.79,4.95,4.92,4.87,4.76,f,1,0.39,False,False,False,False,False,False,False,False,-1.364079789063746,-0.1291762726009593,-1.4124704985760284,-0.0560451286876305,-0.8494555778598473,0
345075,116.0,2,1.0,1.0,Private room,Private room in condo,4.97,0.06027397260273973,0.07692307692307693,0.0,0.0,304.0,14.0,367.2993421052632,2552.0,7.845024417241484,1.0,1.0,5.0,1.0,1.0,Kenwood,41.80774,-87.59459,1.0,2,7,1.0,12,343,304,14,0,12,4.96,4.98,4.96,4.98,4.89,4.91,f,1,1.85,False,True,False,False,False,True,False,False,-2.630763132525561,-0.7838116497391385,0.6977287415739672,-0.0009528912836187,-0.573617222571293,2
350347,193.0,4,2.0,2.0,Entire home/apt,Entire loft,4.88,0.2410958904109589,0.27884615384615385,0.29347826086956524,0.18888888888888888,823.0,55.0,324.44471445929526,16984.0,9.740085880594684,1.0,2.0,2.0,1.0,1.0,Lake View,41.94107,-87.65492,2.0,3,14,1.0,11,277,823,54,5,57,4.92,4.84,4.88,4.9,4.93,4.83,f,1,4.99,False,False,False,False,False,True,False,False,0.0860352547696141,0.8198538068294856,-0.5056098595123525,0.9759173105121068,-0.6424865236627407,1
372929,249.0,12,3.0,3.0,Entire home/apt,Entire home,4.85,0.0684931506849315,0.09615384615384616,0.0,0.0,326.0,26.0,309.25766871165644,6224.999999999999,8.736489351001554,1.0,3.0,5.0,1.0,1.0,West Town,41.89629,-87.65704,5.0,2,1125,1.0,12,340,326,26,4,20,4.87,4.72,4.93,4.95,4.77,4.77,f,2,2.08,False,False,False,True,False,False,False,False,2.5984191414688245,0.6086855454709719,-0.4389103549597669,0.3951909476808534,-0.3339260495394311,4
