id,Cluster_ID
2384,2
7126,1
10945,1
12140,2
28749,1
71930,2
94450,1
145659,1
145690,1
189821,1
207218,1
207351,2
220333,0
225314,2
233933,2
250354,0
264547,0
345075,2
350347,1
372929,4
404792,1
464581,1
507517,1
542067,1
584590,2
634310,2
640841,1
651742,2
662034,2
681842,2
697634,1
726376,1
729566,0
732569,1
739495,1
755701,1
863120,2
929914,1
931105,2
960326,1
966137,2
979841,2
979926,2
979942,2
983640,1
1020810,0
1027463,2
1083987,0
1185749,1
1195259,1
1242709,1
1304049,2
1321332,4
1356190,2
1361421,2
1392594,4
1461451,2
1502674,1
1502700,4
1554433,2
1573401,2
1584422,4
1591370,1
1614802,1
1663673,1
1759266,1
1769731,1
1772920,1
1773021,1
1773025,1
1810118,2
1837153,0
1854000,0
1869568,2
1921670,1
1939467,2
1984545,0
2011301,2
2062638,1
2103986,2
2298310,2
2396340,1
2437230,1
2479175,1
2499596,1
2564678,2
2695259,1
2844042,1
2874486,1
2907500,2
3031898,1
3053081,1
3068787,1
3083343,1
3088192,1
3167664,0
3172794,4
3267902,1
3292054,4
3308694,1
3329088,1
3376665,2
3385966,1
3394750,1
3434136,2
3445991,2
3453656,2
3517984,2
3570616,1
3590692,2
3638744,0
3639045,0
3742513,2
3761023,1
3783533,1
3792844,2
3809530,0
3811926,2
3897045,0
3924599,2
3962072,1
3970529,0
3979320,1
3979385,1
4083903,0
4096995,2
4105283,0
4150121,1
4156913,1
4243309,2
4243905,4
4257285,2
4264117,2
4278818,0
4335812,2
4365466,2
4370895,1
4394093,2
4417718,2
4457161,1
4567558,2
4592031,2
4632510,1
4662201,2
4730797,2
4731523,2
4786970,2
4793938,3
4803582,2
4840199,1
4840753,2
4852830,2
4872152,2
4923963,0
5014976,1
5074013,1
5102125,2
5117490,2
5185790,4
5195252,2
5205377,2
5210927,1
5219364,1
5231461,1
5283285,2
5297152,2
5321981,2
5359984,1
5406217,1
5496659,2
5537682,1
5571262,1
5576191,2
5645139,2
5785758,2
5804791,2
5805991,2
5807478,1
5847065,2
5850897,2
5851115,1
5874798,2
5881188,0
5996942,1
6039038,2
6045978,1
6051322,2
6053269,2
6057908,1
6065318,1
6086065,1
6103492,1
6133986,0
6153674,1
6363328,1
6365974,1
6374350,2
6374890,0
6378085,1
6386641,1
6423299,1
6447131,1
6472628,2
6480445,1
6504170,1
6515667,1
6528643,1
6528832,1
6528867,1
6528967,1
6553226,1
6576714,2
6588681,1
6612044,1
6634916,2
6644005,2
6654182,0
6673071,0
6686012,1
6713251,1
6716477,1
6716705,1
6724355,1
6736478,2
6750168,1
6757098,1
6768827,2
6780171,1
6782452,2
6790448,2
6793653,1
6853688,1
6853914,1
6854069,1
6855475,2
6863046,1
6863178,1
6866384,0
6897078,1
6945901,1
6957805,1
6967492,2
6975132,1
6990105,1
6993421,1
6994290,0
7025225,2
7092080,3
7176158,1
7274926,2
7360731,2
7370245,1
7384649,3
7389646,2
7421326,1
7509321,1
7562307,2
7564825,1
7572706,4
7573465,2
7575577,2
7582520,1
7602989,1
7617158,1
7646381,1
7678127,1
7692835,1
7713352,2
7718819,2
7760721,4
7772110,4
7783924,2
7810030,1
7825273,2
7825308,2
7875516,0
7896539,1
7906341,2
7919400,1
7975015,1
7982764,2
7989457,2
8031382,1
8051756,0
8098937,2
8098969,2
8151461,1
8181598,2
8229081,4
8272970,2
8339990,2
8384692,0
8472766,1
8564722,2
8617633,4
8706915,1
8718913,1
8735904,2
8743145,0
8743754,1
8770382,2
8780493,1
8802052,2
8859482,0
8889577,2
8918966,0
8936446,2
8953380,2
8988738,2
9007351,2
9049864,4
9059696,0
9078918,1
9088488,1
9115645,1
9165281,1
9292734,0
9319078,1
9342355,0
9406789,2
9452418,1
9487892,1
9587656,0
9588999,2
9590401,1
9610654,2
9637023,1
9645880,1
9679005,2
9690523,2
9708726,2
9825135,1
9995220,2
10014344,1
10034077,2
10070422,2
10071396,2
10072035,2
10100747,2
10100835,2
10101026,2
10131101,1
10227627,1
10254486,1
10280979,0
10392060,1
10411427,1
10518084,2
10547772,1
10548699,1
10649603,0
10863022,2
10879699,0
10945786,0
10980810,0
10997225,2
11146518,2
11146814,1
11205769,1
11207835,0
11240415,1
11276504,1
11316564,4
11456952,4
11459685,1
11476089,4
11588346,1
11609854,2
11637237,1
11698006,2
11866232,1
11902507,1
11904373,1
11965767,1
11983838,1
12021281,1
12070222,1
12093618,1
12095628,4
12136030,0
12153109,4
12159371,2
12243431,2
12268349,2
12268908,2
12330769,4
12334385,2
12451721,1
12507128,1
12536277,2
12543743,1
12581064,1
12588033,4
12623279,1
12684163,1
12714714,1
12727728,2
12759999,1
12869290,0
12871814,1
12874125,2
12932496,1
12950970,2
12956671,4
13014320,2
13062802,1
13080765,1
13128883,2
13137589,1
13148936,0
13149571,1
13207526,1
13247627,2
13295757,0
13311675,4
13343525,1
13373997,1
13390160,1
13414718,1
13416789,1
13453259,1
13478467,4
13493868,4
13509392,4
13522012,1
13531342,2
13621242,1
13623907,4
13635380,1
13648548,2
13648600,2
13648645,2
13656154,1
13656318,1
13666998,2
13713501,2
13743298,1
13746300,0
13768369,0
13824783,2
13884932,4
13893848,2
13915441,1
13928644,4
13953306,1
13961352,1
13972956,1
14016520,2
14058443,1
14081954,1
14084505,2
14085322,1
14089727,2
14092623,1
14115665,2
14115706,2
14115711,2
14141704,2
14141861,2
14144295,1
14166242,1
14197548,1
14238448,1
14296844,1
14298102,2
14349670,2
14357876,0
14382622,0
14429433,1
14431243,2
14437950,2
14449619,2
14531526,1
14539561,1
14556304,2
14588581,1
14595303,1
14611960,1
14631349,4
14692738,2
14741430,1
14774756,1
14806237,0
14820957,2
14859319,0
14871197,4
14883494,1
15011149,4
15024671,1
15053294,1
15094729,2
15114450,0
15115673,2
15116890,1
15130764,1
15132653,1
15149053,2
15166761,0
15216226,4
15216905,1
15217088,1
15230450,1
15256715,1
15328919,1
15342084,1
15355696,1
15360554,1
15379201,2
15406710,0
15420226,1
15484924,2
15496152,1
15500042,1
15549085,1
15578702,0
15597127,2
15599810,1
15643384,0
15658650,2
15659073,1
15669026,2
15678106,1
15694333,1
15701920,1
15744964,2
15758556,0
15771536,1
15804772,2
15853679,2
15871357,2
15904833,2
15911102,1
15954582,1
15983050,1
16001987,1
16012260,1
16026075,1
16039792,4
16040153,0
16052779,2
16070011,0
16229723,1
16246568,2
16346266,1
16353883,1
16365205,2
16453692,4
16488400,0
16599263,1
16630783,2
16662423,4
16687380,2
16749331,2
16757056,1
16781530,2
16823279,1
16917705,4
17098971,2
17168028,2
17170225,1
17191860,1
17191957,1
17207282,1
17221782,0
17254241,0
17329552,1
17366144,1
17382991,4
17383973,1
17399529,1
17424708,4
17438902,1
17460467,1
17464924,1
17465173,1
17514102,4
17600522,1
17626341,1
17638039,4
17795412,1
17824940,1
17831075,1
17832768,4
17890798,1
17892626,1
17906826,2
17920957,1
17923236,1
17956375,1
18040546,1
18060003,1
18061472,1
18077204,1
18091194,1
18194698,4
18224208,1
18272559,2
18301586,2
18331520,0
18345065,1
18431594,1
18432523,4
18473660,0
18509024,1
18549762,1
18601472,1
18636662,1
18638839,2
18687892,1
18722151,4
18822176,2
18854028,1
18856449,1
18871593,2
18876938,1
18918084,1
18926227,2
18941958,2
18978187,1
19000293,2
19018922,2
19044554,2
19088115,1
19123858,1
19124180,1
19131659,1
19136596,1
19144279,2
19158517,1
19208339,1
19242274,1
19263774,2
19399921,1
19412268,4
19414085,1
19424810,1
19432136,2
19454398,1
19474637,0
19483555,2
19485349,0
19551521,2
19554215,2
19574382,4
19586298,1
19658989,1
19662106,2
19672865,2
