id,Cluster_5
2384,1
7126,0
10945,0
12140,1
28749,0
71930,1
94450,0
145659,0
145690,2
189821,0
207218,0
207351,0
220333,0
225314,1
233933,1
250354,0
264547,0
345075,1
350347,0
372929,2
404792,0
464581,0
507517,0
542067,0
584590,1
634310,1
640841,0
651742,1
662034,1
681842,1
697634,0
726376,0
729566,0
732569,0
739495,0
755701,0
863120,1
929914,0
931105,1
960326,0
966137,0
979841,1
979926,1
979942,1
983640,0
1020810,0
1027463,1
1083987,0
1185749,0
1195259,0
1242709,0
1304049,1
1321332,2
1356190,1
1361421,1
1392594,2
1461451,1
1502674,0
1502700,2
1554433,1
1573401,1
1584422,2
1591370,0
1614802,0
1663673,0
1759266,0
1769731,0
1772920,0
1773021,2
1773025,2
1810118,1
1837153,0
1854000,0
1869568,1
1921670,0
1939467,1
1984545,0
2011301,1
2062638,2
2103986,1
2298310,1
2396340,0
2437230,0
2479175,0
2499596,0
2564678,1
2695259,0
2844042,0
2874486,0
2907500,1
3031898,0
3053081,0
3068787,0
3083343,0
3088192,0
3167664,0
3172794,2
3267902,0
3292054,2
3308694,0
3329088,0
3376665,1
3385966,0
3394750,0
3434136,1
3445991,1
3453656,1
3517984,1
3570616,0
3590692,1
3638744,0
3639045,0
3742513,1
3761023,0
3783533,0
3792844,1
3809530,0
3811926,1
3897045,0
3924599,1
3962072,0
3970529,0
3979320,0
3979385,0
4083903,0
4096995,1
4105283,0
4150121,0
4156913,0
4243309,1
4243905,2
4257285,1
4264117,0
4278818,0
4335812,1
4365466,1
4370895,0
4394093,1
4417718,1
4457161,0
4567558,1
4592031,1
4632510,0
4662201,1
4730797,1
4731523,1
4786970,1
4793938,4
4803582,0
4840199,0
4840753,1
4852830,1
4872152,1
4923963,0
5014976,0
5074013,0
5102125,1
5117490,1
5185790,2
5195252,1
5205377,1
5210927,0
5219364,0
5231461,0
5283285,1
5297152,1
5321981,1
5359984,2
5406217,0
5496659,1
5537682,0
5571262,0
5576191,1
5645139,1
5785758,1
5804791,1
5805991,1
5807478,0
5847065,1
5850897,1
5851115,0
5874798,1
5881188,0
5996942,0
6039038,1
6045978,0
6051322,1
6053269,1
6057908,0
6065318,1
6086065,0
6103492,0
6133986,0
6153674,0
6363328,0
6365974,0
6374350,1
6374890,0
6378085,0
6386641,0
6423299,0
6447131,0
6472628,1
6480445,0
6504170,0
6515667,0
6528643,0
6528832,0
6528867,0
6528967,0
6553226,0
6576714,1
6588681,0
6612044,0
6634916,1
6644005,0
6654182,0
6673071,2
6686012,0
6713251,0
6716477,0
6716705,0
6724355,0
6736478,1
6750168,0
6757098,0
6768827,1
6780171,0
6782452,1
6790448,1
6793653,2
6853688,0
6853914,2
6854069,0
6855475,1
6863046,0
6863178,2
6866384,0
6897078,0
6945901,0
6957805,1
6967492,1
6975132,0
6990105,0
6993421,0
6994290,0
7025225,1
7092080,4
7176158,0
7274926,1
7360731,1
7370245,0
7384649,4
7389646,1
7421326,0
7509321,0
7562307,1
7564825,0
7572706,2
7573465,1
7575577,1
7582520,0
7602989,0
7617158,0
7646381,0
7678127,0
7692835,0
7713352,1
7718819,1
7760721,2
7772110,2
7783924,1
7810030,0
7825273,1
7825308,1
7875516,0
7896539,0
7906341,1
7919400,0
7975015,0
7982764,1
7989457,1
8031382,0
8051756,0
8098937,1
8098969,1
8151461,0
8181598,1
8229081,2
8272970,1
8339990,1
8384692,0
8472766,0
8564722,1
8617633,2
8706915,0
8718913,0
8735904,1
8743145,0
8743754,0
8770382,1
8780493,0
8802052,1
8859482,0
8889577,1
8918966,0
8936446,1
8953380,1
8988738,1
9007351,1
9049864,2
9059696,0
9078918,2
9088488,0
9115645,0
9165281,0
9292734,0
9319078,0
9342355,0
9406789,1
9452418,0
9487892,2
9587656,0
9588999,1
9590401,0
9610654,1
9637023,0
9645880,0
9679005,1
9690523,1
9708726,1
9825135,0
9995220,1
10014344,0
10034077,1
10070422,1
10071396,1
10072035,1
10100747,1
10100835,1
10101026,1
10131101,0
10227627,0
10254486,0
10280979,0
10392060,0
10411427,1
10518084,1
