id,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,room_type_Hotel room,room_type_Private room,room_type_Shared room,property_type_clean_Entire home,property_type_clean_Entire rental unit,property_type_clean_Other,property_type_clean_Private room in home,property_type_clean_Private room in rental unit,Amenity_PCA_1,Amenity_PCA_2,Amenity_PCA_3,Amenity_PCA_4,Amenity_PCA_5
2384,0.0,1.0,1.0,1.0,1.0,Hyde Park,41.7879,-87.5878,1,1.0,1.0,1.0,119.0,3,90,1.0,13,348,257,10,0,20,4.99,4.98,4.99,4.99,4.98,4.95,4.93,f,1,1.97,False,True,False,False,False,True,False,False,1.3292946761429572,-0.5568979682399675,0.1751278019486241,0.020726818537143074,-0.5160937661641203
7126,1.0,1.0,2.0,1.0,1.0,West Town,41.90166,-87.68021,2,1.0,1.0,1.0,89.0,2,60,1.0,6,302,595,47,3,52,4.73,4.85,4.58,4.91,4.88,4.9,4.77,f,1,3.01,False,False,False,False,True,False,False,False,1.0692039136252984,-0.2942570431245759,-0.18941107228514908,0.6833476322030747,-0.7338978970130083
10945,1.0,9.0,87.0,1.0,1.0,Lincoln Park,41.91196,-87.63981,4,1.0,2.0,2.0,203.0,4,120,1.0,2,325,129,24,2,36,4.74,4.84,4.82,4.84,4.88,4.98,4.73,t,6,0.93,False,False,False,False,True,False,False,False,0.7906683910298735,0.6909232587886716,-0.9341356437708747,0.42756745222788206,0.0662868837409343
12140,0.0,1.0,1.0,1.0,0.0,Lincoln Park,41.92357,-87.64947,3,1.0,1.0,1.0,339.0,2,10,1.0,12,156,19,3,1,3,4.95,4.68,5.0,5.0,5.0,5.0,4.68,f,1,0.15,False,True,False,False,False,True,False,False,-0.8087339060231034,-1.0632606718596331,-0.3074214428026765,-1.0433699140081882,-2.125492283220364
28749,1.0,1.0,7.0,1.0,1.0,Logan Square,41.9202265,-87.67961319999999,6,2.0,3.0,3.0,258.0,2,10,1.0,14,74,265,37,2,42,4.83,4.87,4.77,4.94,4.88,4.93,4.73,f,1,1.47,False,False,False,False,False,True,False,False,2.228906862140302,0.7352265520137253,1.409986004021988,0.004788515028312221,-0.3126216096646411
71930,1.0,1.0,3.0,1.0,0.0,West Town,41.89615,-87.67934,2,1.0,1.0,1.0,80.0,3,60,1.0,13,343,141,18,2,20,4.89,4.94,4.76,4.96,4.95,4.84,4.83,f,1,0.81,False,True,False,False,False,False,False,True,0.37072150641511303,0.32340546261234815,0.4302122389081555,0.17353084598343327,-0.9213606895200477
94450,1.0,1.0,3.0,1.0,1.0,Edgewater,41.9796,-87.66512,1,1.0,1.0,1.0,117.0,3,90,1.0,9,335,39,9,0,11,4.95,5.0,4.9,5.0,5.0,5.0,4.9,f,1,1.01,False,False,False,False,True,False,False,False,0.29233102528480304,-0.09601958372217956,-0.18735520724681154,1.0665925002976446,-0.3285414420456931
145659,1.0,25.0,38.0,1.0,1.0,North Center,41.94342,-87.68121,8,2.0,3.0,3.0,185.0,32,1125,1.0,30,365,77,0,0,1,4.78,4.81,4.91,4.76,4.62,4.88,4.71,f,24,0.64,False,False,False,False,True,False,False,False,-1.4201450051432116,1.2660811601056259,0.665798150956614,0.9386969345642447,-1.0719932080025305
145690,1.0,25.0,38.0,1.0,1.0,Lincoln Park,41.91289,-87.63864,10,2.0,4.0,4.0,270.0,32,1125,1.0,0,331,87,1,0,1,4.78,4.78,4.9,4.79,4.63,4.95,4.65,f,24,0.69,False,False,False,False,True,False,False,False,-1.3857984827267253,1.2539098259030115,0.54808540290188,0.9892276389393083,-0.8107558501005713
189821,1.0,1.0,2.0,1.0,0.0,Logan Square,41.92918,-87.70219,5,1.0,2.0,3.0,220.0,3,28,1.0,9,326,712,40,2,44,4.95,4.97,4.93,4.97,4.95,4.92,4.89,f,1,4.17,False,False,False,False,True,False,False,False,2.763464098246437,-0.037704252594539245,-0.509988160328738,-0.5145875271901738,-0.34637188654666445
